mesh_code,mesh_tree,tree1,tree_lbl
D006475,C18.654.521.500.133.912.360,C,C: Diseases
D050171,C18.452.584.500,C,C: Diseases
D023921,C14.280.647.250.285,C,C: Diseases
D023921,C14.907.585.250.285,C,C: Diseases
D020782,D08.811.277.656.300.480.525,D,D: Chemicals and Drugs
D020782,D08.811.277.656.675.374.525,D,D: Chemicals and Drugs
D005338,D12.776.124.270.300,D,D: Chemicals and Drugs
D005338,D12.776.811.300.290,D,D: Chemicals and Drugs
D018497,C14.280.945.910,C,C: Diseases
D019934,E01.370.225.625.115.320,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D019934,E05.200.625.115.320,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D003330,C14.240.400.210,C,C: Diseases
D003330,C14.280.400.210,C,C: Diseases
D003330,C16.131.240.400.210,C,C: Diseases
D000927,D000927,D,D: Chemicals and Drugs
D000927,D27.505.954.427.080,D,D: Chemicals and Drugs
D003251,C23.300.287,C,C: Diseases
D003240,C17.300,C,C: Diseases
D011236,C18.452.394.750.774,C,C: Diseases
D011236,C19.246.774,C,C: Diseases
D013166,C01.160.762,C,C: Diseases
D013166,C05.116.165.762,C,C: Diseases
D013166,C05.116.900.853,C,C: Diseases
D001171,C05.550.114.122,C,C: Diseases
D001171,C05.799.056,C,C: Diseases
D001171,C17.300.775.049,C,C: Diseases
D001171,C20.111.198,C,C: Diseases
D000081206,E02.760.287,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D000081206,N02.421.585.287,N,Other
D019918,E04.100.376.485,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D019918,E04.650.410,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D019918,E04.928.220.410,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D006742,N02.278.306.472,N,Other
D061665,E02.760.928,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D061665,N02.421.585.928,N,Other
D006967,C20.543,C,C: Diseases
D007136,D12.776.124.486.485,D,D: Chemicals and Drugs
D007136,D12.776.124.790.651,D,D: Chemicals and Drugs
D007136,D12.776.377.715.548,D,D: Chemicals and Drugs
D009298,C08.460.572,C,C: Diseases
D009298,C09.603.557,C,C: Diseases
D009298,C23.300.825.557,C,C: Diseases
D007073,D12.776.124.486.485.114.619.312,D,D: Chemicals and Drugs
D007073,D12.776.124.790.651.114.619.312,D,D: Chemicals and Drugs
D007073,D12.776.377.715.548.114.619.312,D,D: Chemicals and Drugs
D043484,D08.811.277.656.837,D,D: Chemicals and Drugs
D014797,E01.370.386.700.485.750.900,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D014797,G09.772.850.970,G,Other
D002319,A07,A,A: Anatomy
D000451,D000451,D,D: Chemicals and Drugs
D000451,D06.347.700,D,D: Chemicals and Drugs
D000451,D27.505.696.399.450.600,D,D: Chemicals and Drugs
D000451,D27.505.696.560.500.726.249,D,D: Chemicals and Drugs
D004967,D004967,D,D: Chemicals and Drugs
D004967,D27.505.696.399.472.277,D,D: Chemicals and Drugs
D041981,A03.556,A,A: Anatomy
D003106,A03.556.124.526.356,A,A: Anatomy
D003106,A03.556.249.249.356,A,A: Anatomy
D007082,A03.556.124.684.249,A,A: Anatomy
D007082,A03.556.249.124,A,A: Anatomy
D054850,C05.116.540.310.800,C,C: Diseases
D008180,C17.300.480,C,C: Diseases
D008180,C20.111.590,C,C: Diseases
D015850,D12.644.276.374.465.224,D,D: Chemicals and Drugs
D015850,D12.776.467.374.465.202,D,D: Chemicals and Drugs
D015850,D23.529.374.465.224,D,D: Chemicals and Drugs
D001991,C01.748.099,C,C: Diseases
D001991,C08.127.446,C,C: Diseases
D001991,C08.381.495.146,C,C: Diseases
D001991,C08.730.099,C,C: Diseases
D011656,C08.381.495.389.750,C,C: Diseases
D011656,C23.550.291.500.875.875,C,C: Diseases
D011657,C08.381.750,C,C: Diseases
D011657,C15.378.553.231.549.750,C,C: Diseases
D011658,C08.381.483.652,C,C: Diseases
D011658,C23.550.355.644,C,C: Diseases
D011659,E01.370.386.700.650,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D011659,G03.143.775.602,G,Other
D011659,G09.772.705.760.602,G,Other
D013352,C23.550.325.500,C,C: Diseases
D000671,E04.555.080,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D011507,C12.050.351.968.934.734,C,C: Diseases
D011507,C12.200.777.934.734,C,C: Diseases
D011507,C12.950.934.734,C,C: Diseases
D011507,C23.888.942.750,C,C: Diseases
D054092,C14.240.400.560.375.258,C,C: Diseases
D054092,C14.280.400.560.375.258,C,C: Diseases
D054092,C16.131.240.400.560.375.258,C,C: Diseases
D020969,C23.550.291,C,C: Diseases
D003928,C12.050.351.968.419.192,C,C: Diseases
D003928,C12.200.777.419.192,C,C: Diseases
D003928,C12.950.419.192,C,C: Diseases
D003928,C19.246.099.875,C,C: Diseases
D001037,C10.597.606.150.500.800.100,C,C: Diseases
D001037,C23.888.592.604.150.500.800.100,C,C: Diseases
D055109,E01.370.370.140.049,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D000071756,D08.811.520.650.600.750,D,D: Chemicals and Drugs
D000071756,D12.776.476.350.500,D,D: Chemicals and Drugs
D004724,E01.370.388.250,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D004724,E04.502.250,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
C000719275,@317211,@,Other
D000544,C10.228.140.380.100,C,C: Diseases
D000544,C10.574.945.249,C,C: Diseases
D000544,F03.615.400.100,F,Other
D059347,C12.050.351.968.419.780.400,C,C: Diseases
D059347,C12.200.777.419.780.400,C,C: Diseases
D059347,C12.950.419.780.400,C,C: Diseases
D059347,C14.280.434.156,C,C: Diseases
D000991,D000991,D,D: Chemicals and Drugs
D000991,D27.505.519.389.745.800.449,D,D: Chemicals and Drugs
D000991,D27.505.954.502.119.500,D,D: Chemicals and Drugs
D002637,C23.888.592.612.233,C,C: Diseases
D003402,D08.811.913.696.640.150,D,D: Chemicals and Drugs
D006023,D09.400.430,D,D: Chemicals and Drugs
D006023,D12.776.395,D,D: Chemicals and Drugs
D006356,C23.888.821.525,C,C: Diseases
D006551,C23.300.707.960.500.467,C,C: Diseases
D017706,D12.644.456.345.600,D,D: Chemicals and Drugs
D019808,D02.455.426.559.389.185.475,D,D: Chemicals and Drugs
D019808,D03.383.129.308.507,D,D: Chemicals and Drugs
D019808,D03.383.129.617.467,D,D: Chemicals and Drugs
D008181,C12.050.351.968.419.570.363.680,C,C: Diseases
D008181,C12.200.777.419.570.363.680,C,C: Diseases
D008181,C12.950.419.570.363.680,C,C: Diseases
D008181,C17.300.480.680,C,C: Diseases
D008181,C20.111.590.560,C,C: Diseases
D010435,D08.622.509,D,D: Chemicals and Drugs
D010435,D12.776.811.243.509,D,D: Chemicals and Drugs
D012164,C11.768,C,C: Diseases
D012770,C14.280.647.500.750,C,C: Diseases
D012770,C14.907.585.500.750,C,C: Diseases
D012770,C23.550.513.355.750.750,C,C: Diseases
D012770,C23.550.717.489.750.750,C,C: Diseases
D012770,C23.550.835.550,C,C: Diseases
D000068677,D02.065.884.675,D,D: Chemicals and Drugs
D000068677,D02.886.590.700.675,D,D: Chemicals and Drugs
D000068677,D03.383.606.854,D,D: Chemicals and Drugs
D000068677,D03.633.100.759.824,D,D: Chemicals and Drugs
D008269,C11.768.585.439.245,C,C: Diseases
D004562,E01.370.370.380.240,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D004562,E01.370.405.240,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D003520,D02.455.526.728.650.730.243,D,D: Chemicals and Drugs
D003520,D02.705.672.500.243,D,D: Chemicals and Drugs
D019386,D02.705.429.500.100,D,D: Chemicals and Drugs
D014665,D014665,D,D: Chemicals and Drugs
D014665,D27.505.954.411.918,D,D: Chemicals and Drugs
D013257,D04.210.500.875,D,D: Chemicals and Drugs
D000305,D06.472.040,D,D: Chemicals and Drugs
D009103,C10.114.375.500,C,C: Diseases
D009103,C10.314.350.500,C,C: Diseases
D009103,C20.111.258.250.500,C,C: Diseases
D020108,D02.583.575,D,D: Chemicals and Drugs
D020108,D03.066.515.530.498,D,D: Chemicals and Drugs
D020108,D03.383.725.547.530.498,D,D: Chemicals and Drugs
D003710,I01.240,I,Other
D003710,N01.224,N,Other
D003710,N06.850.505.400,N,Other
D000089183,C05.116.900.853.625.800.744,C,C: Diseases
D000089183,C05.550.069.340,C,C: Diseases
D000089183,C05.550.114.865.800.744,C,C: Diseases
D001745,C12.050.351.968.829,C,C: Diseases
D001745,C12.200.777.829,C,C: Diseases
D001745,C12.950.829,C,C: Diseases
D003097,G09.330.100.248,G,Other
D005682,D01.268.558.362.484,D,D: Chemicals and Drugs
D005682,D01.552.550.399.484,D,D: Chemicals and Drugs
D053580,E01.370.600.425,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D053580,G11.427.560,G,Other
D017147,E07.305.250.159.175,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D017147,E07.305.250.319.175,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D017147,E07.695.202.175,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D007008,C18.452.950.565,C,C: Diseases
D000069604,D03.383.725.192,D,D: Chemicals and Drugs
D000069604,D03.633.100.103.280,D,D: Chemicals and Drugs
D013739,D04.210.500.054.079.429.824,D,D: Chemicals and Drugs
D013739,D06.472.334.851.968.984,D,D: Chemicals and Drugs
D000553,E02.760.106,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D000553,N02.421.585.106,N,Other
D001157,C14.907.137,C,C: Diseases
D002315,E04.292.413,E,"E: Analytical, Diagnostic and Therapeutic Techniques, and Equipment"
D013585,C05.550.870,C,C: Diseases
D000077409,D02.065.884.863,D,D: Chemicals and Drugs
D000077409,D02.886.590.700.863,D,D: Chemicals and Drugs
D000077213,D03.383.931.480,D,D: Chemicals and Drugs
D053158,C23.888.942.343.550,C,C: Diseases
D010000,C05.116.680,C,C: Diseases
D005402,C23.300.575,C,C: Diseases
D001168,C05.550.114,C,C: Diseases
D000077236,D09.947.875.359.250.500,D,D: Chemicals and Drugs
D000077236,D09.947.875.465.354.500,D,D: Chemicals and Drugs
