nct_id,condition_preferred,mesh_broad,mesh_broad_label
NCT02477865,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02738151,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02738879,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02746380,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT02777580,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT02788474,Idiopathic Interstitial Pneumonias,C08.381.483.487,Idiopathic Interstitial Pneumonias
NCT00000556,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00067093,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00076089,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00089895,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT00091793,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00092352,Osteoarthritis,C05.550.114,Arthritis
NCT00092573,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00104182,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00106522,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00106574,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00110422,Hypertension,C14.907.489,Hypertension
NCT00116831,Atherosclerosis,C14.907.137.126.307,Atherosclerosis
NCT00127179,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT00129545,Stroke,C14.907.253.855,Stroke
NCT00129545,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00135226,Diabetes Mellitus,C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00141778,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00144339,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00150410,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00163423,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00163436,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00170924,Hypertension,C14.907.489,Hypertension
NCT00170963,Hypertension,C14.907.489,Hypertension
NCT00174720,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00200356,Cerebral Infarction,C14.907.253.855,Stroke
NCT00200473,Hypertension,C14.907.489,Hypertension
NCT00206310,Heart Failure,C14.280.434,Heart Failure
NCT00208312,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00219024,Hypertension,C14.907.489,Hypertension
NCT00219063,Hypertension,C14.907.489,Hypertension
NCT00231530,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00251576,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT00251719,Esophagitis,C06.405.117,Esophageal Diseases
NCT00253227,Alzheimer Disease,C10.228.140.380,Dementia
NCT00254956,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00262600,Stroke,C14.907.253.855,Stroke
NCT00262600,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00279045,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00281580,Hypertension,C14.907.489,Hypertension
NCT00290927,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00309751,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00311896,Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00313209,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00338143,Psoriasis,C17.800.859.675,Psoriasis
NCT00349531,Restless Legs Syndrome,C10.803,Restless Legs Syndrome
NCT00351884,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00362232,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00362960,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00389779,Hypertension,C14.907.489,Hypertension
NCT00407537,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00407537,Hypertension,C14.907.489,Hypertension
NCT00419744,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00424476,"Lupus Erythematosus, Systemic",C20.111.590,"Lupus Erythematosus, Systemic"
NCT00454584,Psoriasis,C17.800.859.675,Psoriasis
NCT00463606,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00482729,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00521742,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00532935,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00558428,Hypertension,C14.907.489,Hypertension
NCT00570986,Psoriasis,C17.800.859.675,Psoriasis
NCT00604396,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00624052,Hypertension,C14.907.489,Hypertension
NCT00627016,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT00628862,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00633893,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00634712,Heart Failure,C14.280.434,Heart Failure
NCT00641043,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00642096,Hypertension,C14.907.489,Hypertension
NCT00654173,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00667407,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00679432,"Colitis, Ulcerative",C06.405.469.432,Inflammatory Bowel Diseases
NCT00696436,Hypertension,C14.907.489,Hypertension
NCT00698646,Hypertension,C14.907.489,Hypertension
NCT00699998,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT00727857,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00728351,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00760214,Hypertension,C14.907.489,Hypertension
NCT00768300,Idiopathic Interstitial Pneumonias,C08.381.483.487,Idiopathic Interstitial Pneumonias
NCT00772538,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00830960,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT00838916,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00845728,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00847626,Hypertension,C14.907.489,Hypertension
NCT00853827,Atherosclerosis,C14.907.137.126.307,Atherosclerosis
NCT00853827,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00860288,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00887250,Hypertension,C14.907.489,Hypertension
NCT00966004,"Urinary Bladder, Overactive",C23.888.942.343.780,"Urinary Bladder, Overactive"
NCT01018173,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01028391,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01069289,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01076088,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01106690,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01131182,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01159912,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01174693,Cerebral Infarction,C14.907.253.855,Stroke
NCT01323634,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01425359,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01425359,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT01425359,Angina Pectoris,C14.280.647Y,"Myocardial Ischemia, chronic"
NCT01516879,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT01538446,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT01573143,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT01574651,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01603082,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT01623115,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT01697696,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01711359,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT01719003,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01764997,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT01792518,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01845025,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01869491,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT01870804,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT01917331,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01928771,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01930188,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01970878,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02000336,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT02105948,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02132936,Psoriasis,C17.800.859.675,Psoriasis
NCT02138916,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02177435,Hypertension,C14.907.489,Hypertension
NCT02182479,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT02207244,Psoriasis,C17.800.859.675,Psoriasis
NCT02207491,Ocular Hypertension,C11.525,Ocular Hypertension
NCT02207829,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02229396,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT02375724,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02558374,Ocular Hypertension,C11.525,Ocular Hypertension
NCT02597049,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02607306,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02870205,Rhinitis,C08.460.799,Rhinitis
NCT00000479,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00000542,Heart Failure,C14.280.434,Heart Failure
NCT00000542,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00000542,Hypertension,C14.907.489,Hypertension
NCT00000542,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00000542,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00035451,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00039026,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00064415,"Bronchitis, Chronic",C08.381.495,"Lung Diseases, Obstructive"
NCT00064415,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00092066,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00092144,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00092365,Osteoarthritis,C05.550.114,Arthritis
NCT00094757,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00095394,Hypertension,C14.907.489,Hypertension
NCT00120900,Osteoarthritis,C05.550.114,Arthritis
NCT00121966,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00129805,Cerebral Infarction,C14.907.253.855,Stroke
NCT00132418,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00136799,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00141141,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00145236,Hypertension,C14.907.489,Hypertension
NCT00154271,Hypertension,C14.907.489,Hypertension
NCT00168831,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00174330,Hypertension,C14.907.489,Hypertension
NCT00184600,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00195663,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00219037,Hypertension,C14.907.489,Hypertension
NCT00240448,Hypertension,C14.907.489,Hypertension
NCT00251745,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT00252863,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00255151,Esophagitis,C06.405.117,Esophageal Diseases
NCT00264550,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00268632,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00274274,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00274599,Hypertension,C14.907.489,Hypertension
NCT00299130,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00361894,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00366938,Osteoarthritis,C05.550.114,Arthritis
NCT00367211,"Spondylitis, Ankylosing",C05.550.114,Arthritis
NCT00367211,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00367211,Osteoarthritis,C05.550.114,Arthritis
NCT00381472,Parkinson Disease,C10.574.812,Parkinson Disease
NCT00383929,Hypertension,C14.907.489,Hypertension
NCT00386139,Hypertension,C14.907.489,Hypertension
NCT00393705,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00393952,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00395343,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00403767,Embolism,C14.907.355,Embolism and Thrombosis
NCT00403767,Stroke,C14.907.253.855,Stroke
NCT00403767,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00408187,Psoriasis,C17.800.859.675,Psoriasis
NCT00439855,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00452530,Pulmonary Embolism,C14.907.355,Embolism and Thrombosis
NCT00452530,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00466167,Parkinson Disease,C10.574.812,Parkinson Disease
NCT00479362,Embolism,C14.907.355,Embolism and Thrombosis
NCT00479362,Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00497237,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00510952,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00518882,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00541489,Osteoarthritis,C05.550.114,Arthritis
NCT00549549,"Arthritis, Gouty",C05.550.114,Arthritis
NCT00558259,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00591773,Hypertension,C14.907.489,Hypertension
NCT00634400,Heart Failure,C14.280.434,Heart Failure
NCT00635505,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00640991,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00651651,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00654225,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00654407,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00657150,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00658528,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT00670501,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00679484,Heart Failure,C14.280.434,Heart Failure
NCT00683111,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00683111,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT00697099,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00699192,Hypertension,C14.907.489,Hypertension
NCT00705575,Hypertension,C14.907.489,Hypertension
NCT00747110,"Colitis, Ulcerative",C06.405.469.432,Inflammatory Bowel Diseases
NCT00764725,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00782210,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00783237,Rhinitis,C08.460.799,Rhinitis
NCT00792818,Osteoarthritis,C05.550.114,Arthritis
NCT00827411,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT00827411,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00838903,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00862641,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00862641,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00862641,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00894387,Heart Failure,C14.280.434,Heart Failure
NCT01018186,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01030081,Hypertension,C14.907.489,Hypertension
NCT01043666,"Urinary Bladder, Overactive",C23.888.942.343.780,"Urinary Bladder, Overactive"
NCT01057251,Hypertension,C14.907.489,Hypertension
NCT01077362,"Arthritis, Psoriatic",C05.550.114,Arthritis
NCT01081834,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01120691,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01121224,Atherosclerosis,C14.907.137.126.307,Atherosclerosis
NCT01137812,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01142726,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT01175824,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01183013,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01204294,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01235130,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT01277822,Hypertension,C14.907.489,Hypertension
NCT01313676,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01318083,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01340768,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01392326,Psoriasis,C17.800.859.675,Psoriasis
NCT01456611,Osteoarthritis,C05.550.114,Arthritis
NCT01474369,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT01507831,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT01512446,Osteoporosis,C05.116.198.579,Osteoporosis
NCT01520818,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01520818,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT01646073,Psoriasis,C17.800.859.675,Psoriasis
NCT01708629,Psoriasis,C17.800.859.675,Psoriasis
NCT01733758,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01749930,Ocular Hypertension,C11.525,Ocular Hypertension
NCT01777269,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT01855789,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT01899742,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02017171,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT02017171,Diabetic Nephropathies,C19.246.099.875,Diabetic Nephropathies
NCT02024646,Psoriasis,C17.800.859.675,Psoriasis
NCT02029495,Psoriasis,C17.800.859.675,Psoriasis
NCT02033889,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02036515,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02072434,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT02139046,Gout,C05.550.114,Arthritis
NCT02159053,"Spondylitis, Ankylosing",C05.550.114,Arthritis
NCT02177253,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02257385,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02269176,Hypertension,C14.907.489,Hypertension
NCT02347774,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02357459,Osteoarthritis,C05.550.114,Arthritis
NCT02388724,Esophagitis,C06.405.117,Esophageal Diseases
NCT02460978,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT02694523,Psoriasis,C17.800.859.675,Psoriasis
NCT00000620,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00000620,Hypertension,C14.907.489,Hypertension
NCT00000620,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00000620,Atherosclerosis,C14.907.137.126.307,Atherosclerosis
NCT00032890,Osteoarthritis,C05.550.114,Arthritis
NCT00039013,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00042068,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00053599,Alzheimer Disease,C10.228.140.380,Dementia
NCT00063687,Heart Failure,C14.280.434,Heart Failure
NCT00064402,"Bronchitis, Chronic",C08.381.495,"Lung Diseases, Obstructive"
NCT00064402,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00069823,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00073177,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00077792,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00092118,Rhinitis,C08.460.799,Rhinitis
NCT00092599,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00092612,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00092703,Osteoarthritis,C05.550.114,Arthritis
NCT00095550,Hypertension,C14.907.489,Hypertension
NCT00105027,Retinal Vein Occlusion,C14.907.355,Embolism and Thrombosis
NCT00115622,Rhinitis,C08.460.799,Rhinitis
NCT00121667,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00127647,Rhinitis,C08.460.799,Rhinitis
NCT00144911,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00152386,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00171093,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00171093,Hypertension,C14.907.489,Hypertension
NCT00174824,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00191464,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00195507,Psoriasis,C17.800.859.675,Psoriasis
NCT00219193,Hypertension,C14.907.489,Hypertension
NCT00221156,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00239369,Hypertension,C14.907.489,Hypertension
NCT00240474,Hypertension,C14.907.489,Hypertension
NCT00241605,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00251901,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT00269191,Osteoarthritis,C05.550.114,Arthritis
NCT00272805,Heart Failure,C14.280.434,Heart Failure
NCT00281593,Hypertension,C14.907.489,Hypertension
NCT00283751,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00289198,Rhinitis,C08.460.799,Rhinitis
NCT00297102,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00299104,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00314574,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00321984,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT00343252,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00355849,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00358436,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00359788,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00385931,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00385931,Hypertension,C14.907.489,Hypertension
NCT00399711,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00411554,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00413972,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00418834,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00445770,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00476034,Osteoarthritis,C05.550.114,Arthritis
NCT00479739,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00484926,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00502775,Rhinitis,C08.460.799,Rhinitis
NCT00503113,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00521599,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00521820,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00525512,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00529451,Hypertension,C14.907.489,Hypertension
NCT00538486,Hypertension,C14.907.489,Hypertension
NCT00552370,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00568295,Osteoarthritis,C05.550.114,Arthritis
NCT00573508,"Urinary Bladder, Overactive",C23.888.942.343.780,"Urinary Bladder, Overactive"
NCT00591253,Hypertension,C14.907.489,Hypertension
NCT00605020,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00631917,Hypertension,C14.907.489,Hypertension
NCT00643799,Osteoarthritis,C05.550.114,Arthritis
NCT00653965,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00654381,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00659750,Rhinitis,C08.460.799,Rhinitis
NCT00664560,Osteoarthritis,C05.550.114,Arthritis
NCT00692913,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00701090,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00772577,Hypertension,C14.907.489,Hypertension
