trm_lvl_id,pmid,page,original_strings_caught_from_tt,mesh_term,mesh_code,atc_code,risk_score,tid,global,global_n,global_pcdsfartl,mesh_term_f,txt_id
1508,19717850,2,total cholesterol3 <194 mg/dl,Lipoproteins,D008074,NA,0,1081,any,2,000000000,Lipoproteins,NA
1509,19726772,2,;>70 yr,Age Factors,D000367,NA,0,1744,any,2,000000000,Age Factors,NA
1510,19726772,2,baseline high-sensitivity crp,C-Reactive Protein,D002097,NA,0,1744,any,2,000000000,C-Reactive Protein,NA
1511,19726772,2,baseline ldl cholesterol,Lipoproteins,D008074,NA,0,1744,any,2,000000000,Lipoproteins,NA
1512,19726772,2,baseline total cholesterol,Lipoproteins,D008074,NA,0,1744,any,2,000000000,Lipoproteins,NA
1513,19726772,2,cardiac risk,Cardiovascular Diseases,D002318,NA,0,1744,risk score,10,000000100,Cardiovascular Diseases,NA
1514,19726772,2,cardiac risk;intermediate,Cardiovascular Diseases,D002318,NA,0,1744,risk score,10,000000100,Cardiovascular Diseases,NA
1515,19726772,2,Temporary discontinuation of study drug,other,NA,NA,0,1744,any,2,000000000,other,NA
1516,19726772,2,type of surgery,"Specialties, Surgical",D013043,NA,0,1744,type,12,000000010,"Specialties, Surgical",NA
1517,19726772,2,type of surgery;endovascular,"Specialties, Surgical",D013043,NA,0,1744,type,12,000000010,"Specialties, Surgical",NA
1518,19726772,NA,Age-Years,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,NA
1519,19726772,NA,cardiac risk,Cardiovascular Diseases,D002318,NA,0,0,risk score,10,000000100,Cardiovascular Diseases,NA
1520,19726772,NA,crp,C-Reactive Protein,D002097,NA,0,0,any,2,000000000,C-Reactive Protein,NA
1521,19726772,NA,ldl,Lipoproteins,D008074,NA,0,0,any,2,000000000,Lipoproteins,NA
1522,19726772,NA,total cholesteror,Lipoproteins,D008074,NA,0,0,any,2,000000000,Lipoproteins,NA
1523,19726772,NA,type of surgery,"Specialties, Surgical",D013043,NA,0,0,type,12,000000010,"Specialties, Surgical",NA
1524,19751115,2,;age < 65 years,Age Factors,D000367,NA,0,643,any,2,000000000,Age Factors,NA
1525,19751115,2,;age >= 65 years,Age Factors,D000367,NA,0,643,any,2,000000000,Age Factors,NA
1526,19752419,NA,Baseline center point thickness,unclassifiable,NA,NA,0,0,any,2,000000000,unclassifiable,NA
1527,19752419,NA,Baseline visual acuity letter score (Snellen equivalent),unclassifiable,NA,NA,0,0,any,2,000000000,unclassifiable,NA
1528,19752419,NA,Duration of macular edema at baseline,Macular Edema,D008269,NA,0,0,duration,5,001000000,Macular Edema,NA
1529,19752419,NA,Pseudophakic at baseline,unclassifiable,NA,NA,0,0,any,2,000000000,unclassifiable,NA
1530,19758359,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,184
1531,19758359,NA,bmi,Body Mass Index,D015992,NA,0,0,any,2,000000000,Body Mass Index,210
1532,19758359,NA,race,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,210
1533,19758359,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,210
1534,19776408,NA,UPDRS scores,Parkinson Disease,D010300,NA,0,0,severity,11,000100000,Parkinson Disease,223
1535,19793357,NA,Patient Variable: Age at randomisation,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,56
1536,19847908,2,;age <51 gadolinium lesion >1 n=72,Age Factors,D000367,NA,0,238,any,2,000000000,Age Factors,NA
1537,19847908,2,;age <51 gadolinium lesion=0 n=143,complex,none,NA,0,238,any,2,000000000,complex,NA
1538,19847908,2,;age >51 gadolinium lesion >1 n=37,complex,none,NA,0,238,any,2,000000000,complex,NA
1539,19847908,2,;age >51 gadolinium lesion=0 n=187,complex,none,NA,0,238,any,2,000000000,complex,NA
1540,19847908,NA,Age-Years,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,NA
1541,19847908,NA,gadolinium,Gadolinium,D005682,NA,0,0,any,2,000000000,Gadolinium,NA
1542,19850248,2,age,Age Factors,D000367,NA,0,941,any,2,000000000,Age Factors,NA
1543,19850248,2,baseline killip class,Heart Failure,D006333,NA,0,941,severity,11,000100000,Heart Failure,NA
1544,19850248,2,enrollment in lmwh,Fibrinolytic Agents,D005343,NA,0,941,any,2,000000000,Fibrinolytic Agents,NA
1545,19850248,2,gender,Gender Identity,D005783,NA,0,941,any,2,000000000,Gender Identity,NA
1546,19850248,2,geographic location,Geographic Locations,D005842,NA,0,941,any,2,000000000,Geographic Locations,NA
1547,19850248,2,geographic location;rest of the world,Geographic Locations,D005842,NA,0,941,any,2,000000000,Geographic Locations,NA
1548,19850248,2,high risk,unclassifiable,none,NA,0,941,risk score,10,000000100,unclassifiable,NA
1549,19850248,2,history of diabetes mellitus,Diabetes Mellitus,D003920,NA,0,941,previous,8,100000000,Diabetes Mellitus,NA
1550,19850248,2,infarct location,Infarction,D007238,NA,0,941,location,7,000000001,Infarction,NA
1551,19850248,2,infarct location;not anterior,Infarction,D007238,NA,0,941,location,7,000000001,Infarction,NA
1552,19850248,2,pci delay due to low risk,Percutaneous Coronary Intervention,D062645,NA,0,941,severity,11,000100100,Percutaneous Coronary Intervention,NA
1553,19850248,2,previous ml,Myocardial Infarction,D009203,NA,0,941,previous,8,100000000,Myocardial Infarction,NA
1554,19850248,2,time of qualifying ecg to balloon inflation (hrs),"Angioplasty, Balloon, Coronary",D015906,NA,0,941,duration,5,001000000,"Angioplasty, Balloon, Coronary",NA
1555,19850248,2,time of symptom onset to balloon inflation (hrs),"Angioplasty, Balloon, Coronary",D015906,NA,0,941,duration,5,001000000,"Angioplasty, Balloon, Coronary",NA
1556,19850248,2,time of symptom onset to balloon inflation (hrs);tertile 1 index pci performed,Percutaneous Coronary Intervention,D062645,NA,0,941,any,2,000000000,Percutaneous Coronary Intervention,NA
1557,19850248,2,time of symptom onset to randomization (hrs),Percutaneous Coronary Intervention,D062645,NA,0,941,any,2,000000000,Percutaneous Coronary Intervention,NA
1558,19850248,3,age,Age Factors,D000367,NA,0,714,any,2,000000000,Age Factors,NA
1559,19850248,3,age (yrs);<75 baseline killip class,Heart Failure,D006333,NA,0,714,severity,11,000100000,Heart Failure,NA
1560,19850248,3,enrollment in lmwh,Fibrinolytic Agents,D005343,NA,0,714,any,2,000000000,Fibrinolytic Agents,NA
1561,19850248,3,gender,Gender Identity,D005783,NA,0,714,any,2,000000000,Gender Identity,NA
1562,19850248,3,geographic location,Geographic Locations,D005842,NA,0,714,any,2,000000000,Geographic Locations,NA
1563,19850248,3,geographic location;rest of the world,Geographic Locations,D005842,NA,0,714,any,2,000000000,Geographic Locations,NA
1564,19850248,3,high risk,unclassifiable,none,NA,0,714,risk score,10,000000100,unclassifiable,NA
1565,19850248,3,history of diabetes mellitus,Diabetes Mellitus,D003920,NA,0,714,previous,8,100000000,Diabetes Mellitus,NA
1566,19850248,3,index pci performed,Percutaneous Coronary Intervention,D062645,NA,0,714,any,2,000000000,Percutaneous Coronary Intervention,NA
1567,19850248,3,infarct location,Infarction,D007238,NA,0,714,location,7,000000001,Infarction,NA
1568,19850248,3,pci delay due to low risk,Percutaneous Coronary Intervention,D062645,NA,0,714,severity,11,000100100,Percutaneous Coronary Intervention,NA
1569,19850248,3,previous ml,Myocardial Infarction,D009203,NA,0,714,previous,8,100000000,Myocardial Infarction,NA
1570,19850248,3,sites;hub,unclassifiable,none,NA,0,714,location,7,000000001,unclassifiable,NA
1571,19850248,3,time of qualifying ecg to balloon inflation (hrs),"Angioplasty, Balloon, Coronary",D015906,NA,0,714,duration,5,001000000,"Angioplasty, Balloon, Coronary",NA
1572,19850248,3,time of symptom onset to balloon inflation (hrs),"Angioplasty, Balloon, Coronary",D015906,NA,0,714,duration,5,001000000,"Angioplasty, Balloon, Coronary",NA
1573,19850249,1,timi =2,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1574,19850249,1,timi =3,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1575,19850249,1,timi =3 and spoke,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1576,19850249,1,timi =3 and spoke and time =2 h,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1577,19850249,1,timi =3 and spoke and time =3 h,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1578,19850249,1,timi =3 and spoke and time =4 h,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1579,19850249,1,timi =3 and spoke and time =5 h,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1580,19850249,1,timi =4,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1581,19850249,1,timi =5,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1582,19850249,1,timi â‰¥2,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1583,19850249,1,timi â‰¥3,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1584,19850249,1,timi â‰¥3 and spoke,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1585,19850249,1,timi â‰¥3 and spoke and time â‰¤2 h,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1586,19850249,1,timi â‰¥3 and spoke and time â‰¤3 h,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1587,19850249,1,timi â‰¥3 and spoke and time â‰¤4 h,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1588,19850249,1,timi â‰¥3 and spoke and time â‰¤5 h,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1589,19850249,1,timi â‰¥4,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1590,19850249,1,timi â‰¥5,Thrombosis,D013927,NA,0,832,severity,11,000100100,Thrombosis,NA
1591,19850249,2,timi =2,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1592,19850249,2,timi =3,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1593,19850249,2,timi =3 and spoke,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1594,19850249,2,timi =3 and spoke and time =2 h,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1595,19850249,2,timi =3 and spoke and time =3 h,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1596,19850249,2,timi =3 and spoke and time =4 h,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1597,19850249,2,timi =3 and spoke and time =5 h,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1598,19850249,2,timi =4,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1599,19850249,2,timi =5,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1600,19850249,2,timi â‰¥2,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1601,19850249,2,timi â‰¥3,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1602,19850249,2,timi â‰¥3 and spoke,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1603,19850249,2,timi â‰¥3 and spoke and time â‰¤2 h,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1604,19850249,2,timi â‰¥3 and spoke and time â‰¤3 h,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1605,19850249,2,timi â‰¥3 and spoke and time â‰¤4 h,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1606,19850249,2,timi â‰¥3 and spoke and time â‰¤5 h,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1607,19850249,2,timi â‰¥4,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1608,19850249,2,timi â‰¥5,Thrombosis,D013927,NA,0,987,severity,11,000100100,Thrombosis,NA
1609,19850525,2,age (years),Age Factors,D000367,NA,0,165,any,2,000000000,Age Factors,NA
1610,19850525,2,arial flutter or fibrillation,Atrial Fibrillation,D001281,NA,0,165,any,2,000000000,Atrial Fibrillation,NA
1611,19850525,2,history of stroke,Stroke,D020521,NA,0,165,previous,8,100000000,Stroke,NA
1612,19850525,2,Hypertension,Hypertension,D006973,NA,0,165,any,2,000000000,Hypertension,NA
1613,19850525,2,nihss at baseline,Stroke,D020521,NA,0,165,severity,11,000100000,Stroke,NA
1614,19850525,2,previous chronic use of antiplatelet drugs,Platelet Aggregation Inhibitors,D010975,NA,0,165,previous,8,100000000,Platelet Aggregation Inhibitors,NA
1615,19850525,2,previous diabetes,Diabetes Mellitus,D003920,NA,0,165,previous,8,100000000,Diabetes Mellitus,NA
1616,19850525,2,sex,Gender Identity,D005783,NA,0,165,any,2,000000000,Gender Identity,NA
1617,19850525,2,Smoker,Cigarette Smoking,D000073865,NA,0,165,any,2,000000000,Cigarette Smoking,NA
1618,19850525,2,time to treatment initiation (min),Stroke,D020521,NA,0,165,duration,5,001000000,Stroke,NA
1619,19864452,NA,baselineHbA1c,Glycated Hemoglobin A,D006442,NA,0,0,any,2,000000000,Glycated Hemoglobin A,179
1620,19864452,NA,HOMA-2  values,Insulin Resistance,D007333,NA,0,0,any,2,000000000,Insulin Resistance,178
1621,19915217,NA,"carotid intima-media thickness, risk",Cardiovascular Diseases,D002318,NA,0,0,risk score,10,000000100,Cardiovascular Diseases,241
1622,19915217,NA,crp,C-Reactive Protein,D002097,NA,0,0,any,2,000000000,C-Reactive Protein,241
1623,19915217,NA,diabetes,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,241
1624,19915217,NA,HDL,Lipoproteins,D008074,NA,0,0,any,2,000000000,Lipoproteins,241
1625,19915217,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,242
1626,19915221,2,stable angina,"Angina, Stable",D060050,NA,0,765,any,2,000000000,"Angina, Stable",NA
1627,19915221,2,STEMI,Myocardial Infarction,D009203,NA,0,765,any,2,000000000,Myocardial Infarction,NA
1628,19915221,2,unstable angina with non STEMI,Myocardial Infarction,D009203,NA,0,765,any,2,000000000,Myocardial Infarction,NA
1629,19915222,NA,troponin level,Troponin,D014336,NA,0,0,any,2,000000000,Troponin,192
1630,19917887,NA,cause of heart failure (ischaemic versus non-ischaemic),Heart Failure,D006333,NA,0,0,aetiological,1,000001000,Heart Failure,NA
1631,19917887,NA,kilip II versus III,Heart Failure,D006333,NA,0,0,severity,11,000100000,Heart Failure,NA
1632,19917888,2,;hs-crp <2.0 g/l,C-Reactive Protein,D002097,NA,0,823,any,2,000000000,C-Reactive Protein,NA
1633,19917888,2,;hs-crp <2.0 mg/l,C-Reactive Protein,D002097,NA,0,823,any,2,000000000,C-Reactive Protein,NA
1634,19917888,2,;hs-crp >2.0 mg/l,C-Reactive Protein,D002097,NA,0,823,any,2,000000000,C-Reactive Protein,NA
1635,19917888,3,;hs-crp <2.0 mg/l,C-Reactive Protein,D002097,NA,0,1747,any,2,000000000,C-Reactive Protein,NA
1636,19917888,3,;hs-crp >2.0 mg/l,C-Reactive Protein,D002097,NA,0,1747,any,2,000000000,C-Reactive Protein,NA
1637,19929994,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,106
1638,19933596,NA,Location,Geographic Locations,D005842,NA,0,0,any,2,000000000,Geographic Locations,NA
1639,19933596,NA,Race,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,NA
1640,20010618,NA,stage-1 or stage-2 hypertension,Hypertension,D006973,NA,0,0,severity,2,000000000,Hypertension,85
1641,20092585,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,181
1642,20092585,NA,bmi,Body Mass Index,D015992,NA,0,0,any,2,000000000,Body Mass Index,180
1643,20092585,NA,diabetes duration,Diabetes Mellitus,D003920,NA,0,0,duration,5,001000000,Diabetes Mellitus,180
1644,20092585,NA,HbA1c,Glycated Hemoglobin A,D006442,NA,0,0,any,2,000000000,Glycated Hemoglobin A,180
1645,20092585,NA,race,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,180
1646,20092585,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,180
1647,20136164,1,type 2 diabetes,Diabetes Mellitus,D003920,NA,0,1119,type,12,000000010,Diabetes Mellitus,NA
1648,20136164,2,type 2 diabetes,Diabetes Mellitus,D003920,NA,0,797,type,12,000000010,Diabetes Mellitus,NA
1649,20136164,3,type 2 diabetes,Diabetes Mellitus,D003920,NA,0,1514,type,12,000000010,Diabetes Mellitus,NA
1650,20136164,4,type 2 diabetes,Diabetes Mellitus,D003920,NA,0,1663,type,12,000000010,Diabetes Mellitus,NA
1651,20136164,5,type 2 diabetes,Diabetes Mellitus,D003920,NA,0,360,type,12,000000010,Diabetes Mellitus,NA
1652,20136164,NA,diabetes,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,99
1653,20151997,2,apo b/apo a-l,Apolipoprotein A-I,D016632,NA,0,524,any,2,000000000,Apolipoprotein A-I,NA
1654,20151997,2,apolipoprotein a-i*,Apolipoprotein A-I,D016632,NA,0,524,any,2,000000000,Apolipoprotein A-I,NA
1655,20151997,2,apolipoprotein b^,Apolipoprotein A-I,D016632,NA,0,524,any,2,000000000,Apolipoprotein A-I,NA
1656,20151997,2,hdl-c,Lipoproteins,D008074,NA,0,524,any,2,000000000,Lipoproteins,NA
1657,20151997,2,hs-crp,C-Reactive Protein,D002097,NA,0,524,any,2,000000000,C-Reactive Protein,NA
1658,20151997,2,ldl-c,Lipoproteins,D008074,NA,0,524,any,2,000000000,Lipoproteins,NA
1659,20151997,2,ldl-c/hdl-c,Lipoproteins,D008074,NA,0,524,any,2,000000000,Lipoproteins,NA
1660,20151997,2,mets w/o t2dm,Diabetes Mellitus,D003920,NA,0,524,any,2,000000000,Diabetes Mellitus,NA
1661,20151997,2,neither t2dm nor mets,Diabetes Mellitus,D003920,NA,0,524,any,2,000000000,Diabetes Mellitus,NA
1662,20151997,2,non-hdl-c,Lipoproteins,D008074,NA,0,524,any,2,000000000,Lipoproteins,NA
1663,20151997,2,non-hdl-c/hdl-c,Lipoproteins,D008074,NA,0,524,any,2,000000000,Lipoproteins,NA
1664,20151997,2,t2dm,Diabetes Mellitus,D003920,NA,0,524,any,2,000000000,Diabetes Mellitus,NA
1665,20151997,2,total cholesterol,Lipoproteins,D008074,NA,0,524,any,2,000000000,Lipoproteins,NA
1666,20151997,2,total cholesterol/hdl-c,Lipoproteins,D008074,NA,0,524,any,2,000000000,Lipoproteins,NA
1667,20151997,2,triglycerides,Lipoproteins,D008074,NA,0,524,any,2,000000000,Lipoproteins,NA
1668,20163842,2,;mild ed  (n = 58),Erectile Dysfunction,D007172,NA,0,1296,severity,11,000100000,Erectile Dysfunction,NA
1669,20163842,2,;mild ed (n = 50),Erectile Dysfunction,D007172,NA,0,1296,severity,11,000100000,Erectile Dysfunction,NA
1670,20163842,2,;moderate-to-severe ed (n = 46),Erectile Dysfunction,D007172,NA,0,1296,severity,11,000100000,Erectile Dysfunction,NA
1671,20163842,2,;moderate-to-severe ed (n = 53),Erectile Dysfunction,D007172,NA,0,1296,severity,11,000100000,Erectile Dysfunction,NA
1672,20163842,2,;moderate-to-severe ed (n = 58),Erectile Dysfunction,D007172,NA,0,1296,severity,11,000100000,Erectile Dysfunction,NA
1673,20163842,2,;moderate-to-severe ed (n = 62),Erectile Dysfunction,D007172,NA,0,1296,severity,11,000100000,Erectile Dysfunction,NA
1674,20185012,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,110
1675,20185012,NA,Atherosclerosis,Atherosclerosis,D050197,NA,0,0,any,2,000000000,Atherosclerosis,NA
1676,20185012,NA,bmi,Body Mass Index,D015992,NA,0,0,any,2,000000000,Body Mass Index,NA
1677,20185012,NA,crp,C-Reactive Protein,D002097,NA,0,0,any,2,000000000,C-Reactive Protein,NA
1678,20185012,NA,diabetes,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,NA
1679,20185012,NA,hdl,Lipoproteins,D008074,NA,0,0,any,2,000000000,Lipoproteins,NA
1680,20185012,NA,ldl,Lipoproteins,D008074,NA,0,0,any,2,000000000,Lipoproteins,NA
1681,20185012,NA,metabolic syndrome,Metabolic Syndrome,D024821,NA,0,0,any,2,000000000,Metabolic Syndrome,NA
1682,20185012,NA,region,Geographic Locations,D005842,NA,0,0,any,2,000000000,Geographic Locations,NA
1683,20185012,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,NA
1684,20185012,NA,triglyceride,Lipoproteins,D008074,NA,0,0,any,2,000000000,Lipoproteins,NA
1685,20185426,NA,patients who were not receiving any maintenance respiratory medications,unclassifiable,NA,NA,0,0,any,2,000000000,unclassifiable,231
1686,20200926,2,;morphometric vertebral,Spine,D013131,NA,0,19,any,2,000000000,Spine,NA
1687,20200926,2,;nonvertebral,Spine,D013131,NA,0,19,any,2,000000000,Spine,NA
1688,20200926,NA,femoral neck t-score,Osteoporosis,D010024,NA,0,0,severity,2,000000000,Osteoporosis,19
1689,20200926,NA,vertebral fracture,"Fractures, Bone",D050723,NA,0,0,any,2,000000000,"Fractures, Bone",19
1690,20228402,2,ace inhibitor treatment,Angiotensin-Converting Enzyme Inhibitors,D000806,NA,0,213,any,2,000000000,Angiotensin-Converting Enzyme Inhibitors,NA
1691,20228402,2,age,Age Factors,D000367,NA,0,213,any,2,000000000,Age Factors,NA
1692,20228402,2,blood pressure control*,Blood Pressure,D001794,NA,0,213,any,2,000000000,Blood Pressure,NA
1693,20228402,2,body mass index,Body Mass Index,D015992,NA,0,213,any,2,000000000,Body Mass Index,NA
1694,20228402,2,body mass index[kg/m^],Body Mass Index,D015992,NA,0,213,any,2,000000000,Body Mass Index,NA
1695,20228402,2,body mass index[kg/m^];<25,Body Mass Index,D015992,NA,0,213,any,2,000000000,Body Mass Index,NA
1696,20228402,2,body mass index[kg/m^];>25-30,Body Mass Index,D015992,NA,0,213,any,2,000000000,Body Mass Index,NA
1697,20228402,2,body mass index[kg/m^];>30-35,Body Mass Index,D015992,NA,0,213,any,2,000000000,Body Mass Index,NA
1698,20228402,2,body mass index[kg/m^];>35,Body Mass Index,D015992,NA,0,213,any,2,000000000,Body Mass Index,NA
1699,20228402,2,body mass index[kh/m^],Body Mass Index,D015992,NA,0,213,any,2,000000000,Body Mass Index,NA
1700,20228402,2,body mass index[kh/m^];<25,Body Mass Index,D015992,NA,0,213,any,2,000000000,Body Mass Index,NA
1701,20228402,2,body mass index[kh/m^];>25-30,Body Mass Index,D015992,NA,0,213,any,2,000000000,Body Mass Index,NA
1702,20228402,2,body mass index[kh/m^];>30-35,Body Mass Index,D015992,NA,0,213,any,2,000000000,Body Mass Index,NA
1703,20228402,2,body mass index[kh/m^];>35,Body Mass Index,D015992,NA,0,213,any,2,000000000,Body Mass Index,NA
1704,20228402,2,Fasting plasma glucose,Glucose,D005947,NA,0,213,any,2,000000000,Glucose,NA
1705,20228402,2,Hypertension,Hypertension,D006973,NA,0,213,any,2,000000000,Hypertension,NA
1706,20228402,2,Prior CVD,Cardiovascular Diseases,D002318,NA,0,213,previous,8,100000000,Cardiovascular Diseases,NA
1707,20228402,2,race,Racial Groups,D044469,NA,0,213,any,2,000000000,Racial Groups,NA
1708,20228402,2,race;other,Racial Groups,D044469,NA,0,213,any,2,000000000,Racial Groups,NA
1709,20228402,2,region,Geographic Locations,D005842,NA,0,213,any,2,000000000,Geographic Locations,NA
1710,20228402,2,region;other,Geographic Locations,D005842,NA,0,213,any,2,000000000,Geographic Locations,NA
1711,20228402,2,sex,Gender Identity,D005783,NA,0,213,any,2,000000000,Gender Identity,NA
1712,20228402,2,waist circumference,Waist Circumference,D055105,NA,0,213,any,2,000000000,Waist Circumference,NA
1713,20228402,2,waist circumference[cm{female)/cm{male)],Waist Circumference,D055105,NA,0,213,any,2,000000000,Waist Circumference,NA
1714,20228402,2,waist circumference[cm{female)/cm{male)];<88/102,Waist Circumference,D055105,NA,0,213,any,2,000000000,Waist Circumference,NA
1715,20228402,2,waist circumference[cm{female)/cm{male)];>88/102,Waist Circumference,D055105,NA,0,213,any,2,000000000,Waist Circumference,NA
1716,20228402,3,ace inhibitor treatment,Angiotensin-Converting Enzyme Inhibitors,D000806,NA,0,1489,any,2,000000000,Angiotensin-Converting Enzyme Inhibitors,NA
1717,20228402,3,age,Age Factors,D000367,NA,0,1489,any,2,000000000,Age Factors,NA
1718,20228402,3,blood pressure control*,Blood Pressure,D001794,NA,0,1489,any,2,000000000,Blood Pressure,NA
1719,20228402,3,body mass index,Body Mass Index,D015992,NA,0,1489,any,2,000000000,Body Mass Index,NA
1720,20228402,3,body mass index[kg/m^],Body Mass Index,D015992,NA,0,1489,any,2,000000000,Body Mass Index,NA
1721,20228402,3,body mass index[kg/m^];<25,Body Mass Index,D015992,NA,0,1489,any,2,000000000,Body Mass Index,NA
1722,20228402,3,body mass index[kg/m^];>25-30,Body Mass Index,D015992,NA,0,1489,any,2,000000000,Body Mass Index,NA
1723,20228402,3,body mass index[kg/m^];>30-35,Body Mass Index,D015992,NA,0,1489,any,2,000000000,Body Mass Index,NA
1724,20228402,3,body mass index[kg/m^];>35,Body Mass Index,D015992,NA,0,1489,any,2,000000000,Body Mass Index,NA
1725,20228402,3,body mass index[kh/m^],Body Mass Index,D015992,NA,0,1489,any,2,000000000,Body Mass Index,NA
1726,20228402,3,body mass index[kh/m^];<25,Body Mass Index,D015992,NA,0,1489,any,2,000000000,Body Mass Index,NA
1727,20228402,3,body mass index[kh/m^];>25-30,Body Mass Index,D015992,NA,0,1489,any,2,000000000,Body Mass Index,NA
1728,20228402,3,body mass index[kh/m^];>30-35,Body Mass Index,D015992,NA,0,1489,any,2,000000000,Body Mass Index,NA
1729,20228402,3,body mass index[kh/m^];>35,Body Mass Index,D015992,NA,0,1489,any,2,000000000,Body Mass Index,NA
1730,20228402,3,Fasting plasma glucose,Glucose,D005947,NA,0,1489,any,2,000000000,Glucose,NA
1731,20228402,3,Hypertension,Hypertension,D006973,NA,0,1489,any,2,000000000,Hypertension,NA
1732,20228402,3,Prior CVD,Cardiovascular Diseases,D002318,NA,0,1489,previous,8,100000000,Cardiovascular Diseases,NA
1733,20228402,3,race,Racial Groups,D044469,NA,0,1489,any,2,000000000,Racial Groups,NA
1734,20228402,3,race;other,Racial Groups,D044469,NA,0,1489,any,2,000000000,Racial Groups,NA
1735,20228402,3,region,Geographic Locations,D005842,NA,0,1489,any,2,000000000,Geographic Locations,NA
1736,20228402,3,region;other,Geographic Locations,D005842,NA,0,1489,any,2,000000000,Geographic Locations,NA
1737,20228402,3,sex,Gender Identity,D005783,NA,0,1489,any,2,000000000,Gender Identity,NA
1738,20228402,3,waist circumference,Waist Circumference,D055105,NA,0,1489,any,2,000000000,Waist Circumference,NA
1739,20228402,3,waist circumference[cm{female)/cm{male)],Waist Circumference,D055105,NA,0,1489,any,2,000000000,Waist Circumference,NA
1740,20228402,3,waist circumference[cm{female)/cm{male)];<88/102,Waist Circumference,D055105,NA,0,1489,any,2,000000000,Waist Circumference,NA
1741,20228402,3,waist circumference[cm{female)/cm{male)];>88/102,Waist Circumference,D055105,NA,0,1489,any,2,000000000,Waist Circumference,NA
1742,20228402,4,'2hr prandial glucose\'*’',Glucose,D005947,NA,0,403,any,2,000000000,Glucose,NA
1743,20228402,4,ace inhibitor treatment,Angiotensin-Converting Enzyme Inhibitors,D000806,NA,0,403,any,2,000000000,Angiotensin-Converting Enzyme Inhibitors,NA
