nct_id,phase,number_of_arms,brief_title,official_title,enrollment,start_date,completion_date,sponsor
NCT00658528,Phase 3,2,Rabeprazole Extended-Release 50 mg Versus Esomeprazole 40 mg for Healing and Symptomatic Relief of Moderate to Severe Erosive Gastroesophageal Reflux Disease (GERD),A Randomized Double-Blind Parallel Study of Rabeprazole Extended-Release 50 mg Versus Esomeprazole 40 mg for Healing and Symptomatic Relief of Moderate to Severe Erosive Gastroesophageal Reflux Disease (GERD),1061,2008-02-01,2010-01-01,Eisai Inc.
NCT00670501,Phase 3,3,Effects of Teriparatide in the Treatment of Postmenopausal Women With Osteoporosis,Effects of LY333334 in the Treatment of Postmenopausal Women With Osteoporosis,1637,1996-08-01,1999-04-01,Eli Lilly and Company
NCT00679484,Phase 3,2,Study to Demonstrate the Non-inferiority of Olmesartan Medoxomil Versus Candesartan Cilexetil in Reducing Blood B-type (or Brain) Natriuretic Peptide Levels at Week 24,"A 24-Week Multicentre, Randomized, Double-Blind, Controlled, Parallel Group Non-Inferiority Study to Assess the Efficacy and Safety of Olmesartan Medoxomil Versus Candesartan Cilexetil in Patients With Symptomatic Heart Failure (NYHA II-IV)",400,2008-06-01,2009-11-01,"Daiichi Sankyo, Inc."
NCT00683111,Phase 4,2,Prevention of Gastrointestinal Bleeding in Patients With Severe Ischemic Heart Disease,Famotidine Compared With Esomeprazole in the Prevention of Ulcer Complications in Patients With Acute Coronary Syndrome or Myocardial Infarction,500,2008-07-01,2011-12-01,Ruttonjee Hospital
NCT00697099,Phase 3,2,Evaluation of AVE5026 as Compared to Enoxaparin for the Prevention of Thromboembolism in Patients Undergoing Total Hip Replacement Surgery,"A Multinational, Multicenter, Randomized, Double-Blind Study Comparing the Efficacy and Safety of AVE5026 With Enoxaparin for the Prevention of Venous Thromboembolism in Patients Undergoing Elective Total Hip Replacement Surgery",2326,2008-06-01,2009-06-01,Sanofi
NCT00699192,Phase 3,3,"Safety, Tolerability, and Efficacy of Once Daily Amlodipine/Valsartan 5/80 as Compared to Amlodipine/Valsartan 5/40 or to Amlodipine 5 mg Monotherapy in Patients 65 Years of Age and Older With Essential Hypertension","A Multicenter, Double-blind, Randomized, Parallel-group Study to Evaluate the Safety, Tolerability, and Efficacy of Once Daily Amlodipine/Valsartan 5/80 mg as Compared to Amlodipine/Valsartan 5/40 mg or to Amlodipine 5 mg Once Daily in Elderly Patients With Essential Hypertension Not Adequately Controlled After Four Weeks on Amlodipine 5 mg Once Daily",965,2008-05-01,2009-05-01,Novartis
NCT00705575,Phase 3,2,Efficacy and Safety of the Combination Aliskiren (300 mg) and Hydrochlorothiazide (25mg) to Aliskiren (300mg) Monotherapy in Patients With Staged II Hypertension,"A 12 Week, Double-blind, Randomized, Parallel Group, Multi-center Study to Evaluate the Efficacy and Safety of the Combination of Aliskiren 300 mg and Hydrochlorothiazide 25 mg Compared to Aliskiren 300 mg in Patients With Stage II Hypertension",688,2008-06-01,2009-04-01,Novartis
NCT00764725,Phase 4,2,Comparison of MTX+Anti-TNF to MTX+Conventional DMARDs in Patients With Early Rheumatoid Arthritis (RA) Who Failed MTX Alone (SWEFOT),"A Prospective Randomized, Open, Multi-Center Trial Comparing TNF-Blockade + MTX to MTX+SSZ+HCQ in Patients With Early RA With an Inadequate Response to MTX",487,2002-12-01,2008-12-01,Karolinska Institutet
NCT00782210,Phase 3,3,12 / 48 Week Pivotal PFT vs PBO in COPD I,"Randomised, Double-blind, Placebo-controlled, Parallel Group Study to Assess the Efficacy and Safety of 48 Weeks of Once Daily Treatment of Orally Inhaled BI 1744 CL (5 mcg [2 Actuations of 2.5 mcg] and 10 mcg [2 Actuations of 5 mcg]) Delivered by the Respimat® Inhaler, in Patients With Chronic Obstructive Pulmonary Disease (COPD)",625,2008-11-01,NA,Boehringer Ingelheim
NCT00783237,Phase 4,2,Onset of Effect of Mometasone Nasal Spray in Induced Allergic Rhinitis (Study P03431),Onset of Action of Mometasone Furoate Nasal Spray vs. Placebo in Induced Allergic Rhinitis,340,2003-12-01,2004-02-21,Merck Sharp & Dohme Corp.
NCT00792818,Phase 3,2,The Efficacy and Safety of Curcuma Domestica Extracts and Ibuprofen in Knee Osteoarthritis,"The Efficacy and Safety of Curcuma Domestica Extracts and Ibuprofen for Therapy of Patients With Knee Osteoarthritis, the Randomized Double-blinded Controlled Trial, Multicenter Study",367,2008-12-01,2012-10-01,Mahidol University
NCT00827411,Phase 4,4,"Double Randomization of a Monitoring Adjusted Antiplatelet Treatment Versus a Common Antiplatelet Treatment for DES Implantation, and Interruption Versus Continuation of Double Antiplatelet Therapy","Double Randomization of a Monitoring Adjusted Antiplatelet Treatment Versus a Common Antiplatelet Treatment for DES Implantation, and a Interruption Versus Continuation of Double Antiplatelet Therapy, One Year After Stenting",2500,2009-01-01,2013-01-01,Assistance Publique - Hôpitaux de Paris
NCT00838903,Phase 3,4,Efficacy and Safety of Albiglutide in Treatment of Type 2 Diabetes,"A Randomized, Double-Blind, Placebo and Active-Controlled, Parallel-Group, Multicenter Study to Determine the Efficacy and Safety of Albiglutide When Used in Combination With Metformin Compared With Metformin Plus Sitagliptin, Metformin Plus Glimepiride, and Metformin Plus Placebo in Subjects With Type 2 Diabetes Mellitus",1049,2009-02-01,2013-04-01,GlaxoSmithKline
NCT00862641,Phase 4,4,A Study of the Safety and Tolerance of Regadenoson in Subjects With Asthma or Chronic Obstructive Pulmonary Disease,"A Phase 4, Multi-Center, Double-Blind, Randomized, Placebo-Controlled Study of the Safety and Tolerance of Regadenoson in Subjects With Asthma or Chronic Obstructive Pulmonary Disease (COPD).",1009,2009-04-01,2009-10-01,Astellas Pharma Inc
NCT00894387,Phase 3,2,"Six Months Efficacy and Safety of Aliskiren Therapy on Top of Standard Therapy, on Morbidity and Mortality in Patients With Acute Decompensated Heart Failure","A Multicenter, Randomized, Double-blind, Parallel Group, Placebo-controlled Study to Evaluate the 6 Months Efficacy and Safety of Aliskiren Therapy on Top of Standard Therapy, on Morbidity and Mortality When Initiated Early After Hospitalization for Acute Decompensated Heart Failure",1639,2009-05-01,2012-08-01,Novartis
NCT01018186,Phase 3,2,Fluticasone Furoate/GW642444 Inhalation Powder Long-Term Safety Study,"A Randomized, Double-Blind, Double Dummy, Active Comparator, Parallel Group, Multicenter Study to Evaluate the Safety of Once-Daily Fluticasone Furoate/GW642444 Inhalation Powder for 52 Weeks in Adolescent and Adult Subjects With Asthma",503,2009-10-19,2011-05-12,GlaxoSmithKline
NCT01030081,Phase 4,2,Amlodipine Prevents Morning Blood Pressure Surge Study,A Randomized Controlled Phase Ⅳ Trial With Two Equally Sized Treatment Groups: Amlodipine And Nifedipine GITS,510,2009-10-01,2013-03-01,Shanghai Jiao Tong University School of Medicine
NCT01043666,Phase 3,3,A Study of YM178 in Subjects With Symptoms of Overactive Bladder,"Phase III Study of YM178: A Randomized, Double-blind, Parallel Group, Placebo and Active Controlled, Multi-center Study in Subjects With Symptoms of Overactive Bladder",1126,2009-12-01,2011-09-01,Astellas Pharma Inc
NCT01057251,Phase 4,2,Nebivolol in Patients With Systolic Stage 2 Hypertension,"Randomized, Double-blind, Placebo-controlled, Parallel-group Study to Evaluate the Effect of 5 mg or 20 mg Nebivolol Once Daily on Blood Pressure in Patients With Systolic Stage 2 Hypertension",433,2010-03-01,2011-01-01,Forest Laboratories
NCT01077362,Phase 3,3,A Study of the Safety and Efficacy of Ustekinumab in Patients With Psoriatic Arthritis With and Without Prior Exposure to Anti-TNF Agents,"A Phase 3 Multicenter, Randomized, Double-blind, Placebo-controlled Trial of Ustekinumab, a Fully Human Anti-IL-12/23p40 Monoclonal Antibody, Administered Subcutaneously, in Subjects With Active Psoriatic Arthritis Including Those Previously Treated With Biologic Anti-TNFalpha Agent(s)",312,2010-03-01,2012-11-01,"Janssen Research & Development, LLC"
NCT01081834,Phase 3,3,The CANTATA-M (CANagliflozin Treatment and Trial Analysis - Monotherapy) Trial,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multicenter Study to Evaluate the Efficacy, Safety, and Tolerability of Canagliflozin as Monotherapy in the Treatment of Subjects With Type 2 Diabetes Mellitus Inadequately Controlled With Diet and Exercise",678,2010-03-01,2012-03-01,"Janssen Research & Development, LLC"
NCT01120691,Phase 3,3,Effect of QVA149 Versus NVA237 and Tiotropium on Chronic Obstructive Pulmonary Disorder (COPD) Exacerbations,"A 64-week Treatment, Multi-center, Randomized, Double-blind, Parallel-group, Active Controlled Study to Evaluate the Effect of QVA149 (110/50 μg o.d.) vs NVA237 (50 μg o.d.) and Open-label Tiotropium (18 μg o.d.) on COPD Exacerbations in Patients With Severe to Very Severe Chronic Obstructive Pulmonary Disease (COPD)",2224,2010-04-01,2012-07-01,Novartis
NCT01121224,Phase 4,2,Drug-Eluting Stents vs. Bare Metal Stents In Saphenous Vein Graft Angioplasty,CSP #571 - Drug-eluting Stents vs. Bare Metal Stents in Saphenous Vein Graft Angioplasty (DIVA),597,2012-01-01,2016-12-01,VA Office of Research and Development
NCT01137812,Phase 3,2,The CANTATA-D2 Trial (CANagliflozin Treatment And Trial Analysis - DPP-4 Inhibitor Second Comparator Trial),"A Randomized, Double-Blind, Active-Controlled, Multicenter Study to Evaluate the Efficacy, Safety, and Tolerability of Canagliflozin Versus Sitagliptin in the Treatment of Subjects With Type 2 Diabetes Mellitus With Inadequate Glycemic Control on Metformin and Sulphonylurea Therapy",756,2010-07-01,2012-03-01,"Janssen Research & Development, LLC"
NCT01142726,Phase 3,3,Efficacy and Safety Study of Abatacept Subcutaneous Plus Methotrexate in Inducing Remission in Adults With Very Early Rheumatoid Arthritis,"A Phase 3b, Randomized, Active Controlled Trial to Evaluate the Efficacy and Safety of Abatacept SC in Combination With Methotrexate in Inducing Clinical Remission Compared to Methotrexate Monotherapy in Adults With Very Early RA",511,2010-12-01,2014-10-01,Bristol-Myers Squibb
NCT01175824,Phase 4,2,Comparison of the Efficacy and Safety of Two Insulin Intensification Strategies,Comparison of Twice-Daily Insulin Lispro Low Mixture Versus Once-Daily Basal Insulin Glargine and Once-Daily Prandial Insulin Lispro as Insulin Intensification Strategies in Patients With Type 2 Diabetes Who Have Inadequate Glycemic Control on Basal Insulin Glargine and Metformin and/or Pioglitazone,478,2011-04-01,2012-11-01,Eli Lilly and Company
NCT01183013,Phase 3,7,"30 Week Parallel Group Comparison Study of Linagliptin + Pioglitazone (5+15, 5+30 and 5+45 mg) qd Versus Respective Monotherapies, Followed by a Comparison of 5mg+30mg and 5mg+45mg Versus Respective Monotherapies in Type 2 Diabetes for up to 54 Weeks","A Randomised, Double-blind Parallel Group Study to Compare the Efficacy and Safety of Initial Combination Therapy With Linagliptin 5 mg + Pioglitazone 15 mg, 30 mg, or 45 mg, vs. Monotherapy With Pioglitazone (15 mg, 30 mg, or 45 mg) or Linagliptin 5 mg Once Daily for 30 Weeks, Followed by a Blinded Trial Period on Linagliptin 5 mg + Pioglitazone 30 or 45 mg Versus Pioglitazone Monotherapy 30 or 45 mg or Linagliptin 5 mg for up to 54 Weeks in Type 2 Diabetic Patients With Insufficient Glycaemic Control on Diet and Exercise",936,2010-08-01,2013-02-01,Boehringer Ingelheim
NCT01204294,Phase 3,7,Comprehensive Add on Study in Japan,"An Open Label, Randomised, Parallel Group Safety and Efficacy Study of Linagliptin (5 mg Administered Orally Once Daily) Over 52 Weeks in Patients With Type 2 Diabetes Mellitus and Insufficient Glycaemic Control Despite Background Mono-therapy With an Approved Antidiabetic Drug",574,2010-09-01,2012-01-01,Boehringer Ingelheim
NCT01235130,Phase 3,2,Multi_center Study to Evaluate the Effect of N-3 Fatty Acids (OMEGA-3) on Arrhythmia Recurrence in Atrial Fibrillation,"Phase 3 A Randomized, Double-blind, Placebo-controlled, Multi-center Study to Evaluate the Effect of Long-chain N-3 Polyunsaturated Fatty Acids (OMEGA-3) on Arrhythmia Recurrence in Atrial Fibrillation",337,2009-03-01,2013-05-01,Montreal Heart Institute
NCT01277822,Phase 4,2,Efficacy of Losartan + Amlodipine Compared to Amlodipine Alone in the Treatment of Uncontrolled High Blood Pressure (MK-0954F-399),"The 8 Weeks, Multicenter, Randomized, Double-blind, Clinical Study To Evaluate Efficacy Of Treatment With Losartan/Amlodipine 100/5 mg Combination Compared To Amlodipine 10 mg Monotherapy In Hypertensive Patients Who Are Not Appropriately Respond To Amlodipine 5 mg Monotherapy",334,2011-05-30,2013-04-22,Merck Sharp & Dohme Corp.
NCT01313676,Phase 3,4,Study to Evaluate the Effect of Fluticasone Furoate/Vilanterol on Survival in Subjects With Chronic Obstructive Pulmonary Disease,A Clinical Outcomes Study to Compare the Effect of Fluticasone Furoate/Vilanterol Inhalation Powder 100/25mcg With Placebo on Survival in Subjects With Moderate Chronic Obstructive Pulmonary Disease (COPD) and a History of or at Increased Risk for Cardiovascular Disease,16568,2011-01-25,2015-07-15,GlaxoSmithKline
NCT01318083,Phase 2/Phase 3,3,Efficacy and Safety of Alogliptin Used in Combination With Sulfonylurea in Participants With Type 2 Diabetes in Japan,"A Phase 2/3, Double-Blind, Randomized, Placebo-Controlled, Parallel-Group, Multicenter Study to Determine the Efficacy and Safety of SYR-322 When Used in Combination With Sulfonylurea in Subjects With Type 2 Diabetes in Japan",312,2008-08-01,2009-04-01,Takeda
NCT01340768,Phase 3,2,Study to Compare Sitagliptin Versus Sulfonylurea Treatment During Ramadan Fasting in Patients With Type 2 Diabetes (MK-0431-262),"An Open-Label, Randomized Naturalistic Study to Evaluate the Incidence of Hypoglycemia Comparing Sitagliptin With Sulfonylurea Treatment in Patients With Type 2 Diabetes During Ramadan Fasting",870,2010-06-22,2011-09-21,Merck Sharp & Dohme Corp.
NCT01392326,Phase 3,3,"Efficacy at 24 Weeks and Long Term Safety, Tolerability and Efficacy up to 2 Years of Secukinumab (AIN457) in Patients With Active Psoriatic Arthritis (PsA)","A Randomized, Double-blind, Placebo-controlled, Multicenter Study of Secukinumab to Demonstrate the Efficacy at 24 Weeks and to Assess the Long Term Safety, Tolerability and Efficacy up to 2 Years in Patients With Active Psoriatic Arthritis",606,2011-09-01,2014-10-01,Novartis
NCT01456611,Phase 3,3,Evaluation of Clinical Endpoints of Two Diclofenac Sodium Gel 1%,"A Double-Blind, Randomized, Placebo-Controlled, Parallel Group, Multi-Site Study to Evaluate the Clinical Equivalence of Diclofenac Sodium 1% Gel (Anchen Pharmaceuticals, Inc.) With Voltaren® Gel (Diclofenac Sodium Topical Gel) 1% (Novartis) in Patients With Osteoarthritis of the Knee",749,2011-09-01,2012-04-01,"Anchen Pharmaceuticals, Inc"
NCT01474369,Phase 3,3,Efficacy of TAK-438 Compared to Placebo in the Treatment of Non-Erosive Gastroesophageal Reflux Disease,"A Phase 3, Randomized, Double Blind, Placebo Control, Multicenter Study to Evaluate the Efficacy and Safety of TAK- 438 (10 and 20 mg Once-Daily) in Patients With Non-Erosive Gastroesophageal Reflux Disease.",827,2011-12-01,2013-02-01,Takeda
NCT01507831,Phase 3,2,Long-term Safety and Tolerability of Alirocumab (SAR236553/REGN727) Versus Placebo on Top of Lipid-Modifying Therapy in High Cardiovascular Risk Patients With Hypercholesterolemia (ODYSSEY Long Term),"Long-term Safety and Tolerability of SAR236553 (REGN727) in High Cardiovascular Risk Patients With Hypercholesterolemia Not Adequately Controlled With Their Lipid Modifying Therapy: A Randomized, Double-Blind, Placebo-Controlled Study",2341,2012-01-01,2014-11-01,Sanofi
NCT01512446,Phase 3,2,Comparison of the Effect of an Ongoing Treatment With Alendronate or a Drug Holiday on the Fracture Risk in Osteoporotic Patients With Bisphosphonate Long Term Therapy,Comparison of the Effect of an Ongoing Treatment With Alendronate or a Drug Holiday on the Fracture Risk in Osteoporotic Patients With Bisphosphonate Long Term Therapy,436,2012-02-01,2013-03-01,Evangelisches Krankenhaus Lutherhaus gGmbH
NCT01520818,Phase 3,2,Comparison of Biphasic Human Insulin 30 With Biphasic Insulin Aspart in Subjects With Diabetes,"A Multinational, Randomised, Open-labelled, Parallel Group Four Months Comparison of Twice Daily Biphasic Human Insulin 30 and Thrice Daily Biphasic Insulin Aspart 50 and 70 in Subjects With Type 1 or Type 2 Diabetes",666,2000-03-01,2001-04-01,Novo Nordisk A/S
NCT01646073,Phase 3,2,Safety and Efficacy Study of Adalimumab in the Treatment of Plaque Psoriasis,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Assess the Safety and Efficacy of Adalimumab (Humira®) in Chinese Subjects With Moderate to Severe Plaque Psoriasis",425,2012-08-01,2013-12-01,AbbVie
NCT01708629,Phase 3,4,Study of Efficacy and Safety of Brodalumab Compared With Placebo and Ustekinumab in Moderate to Severe Plaque Psoriasis Subjects,A Phase 3 Study to Evaluate the Efficacy and Safety of Induction and Maintenance Regimens of Brodalumab Compared With Placebo and Ustekinumab in Subjects With Moderate to Severe Plaque Psoriasis: AMAGINE-3,1881,2012-09-01,2015-10-01,Amgen
NCT01733758,Phase 3,4,A Monotherapy Study to Evaluate the Efficacy and Safety of 2 Dose Levels of Albiglutide in Japanese Subjects With Type 2 Diabetes Mellitus (T2DM),"A Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Multicenter Monotherapy Study to Determine the Efficacy and Safety of 2 Dose Levels of Albiglutide in Subjects With Type 2 Diabetes Mellitus",494,2013-02-01,2015-02-01,GlaxoSmithKline
NCT01777269,Phase 4,2,Prospective Sexual Function Study for BPH Subjects,A Prospective Study of Sexual Function in Sexually Active Men Treated for BPH,489,2013-02-18,2016-04-05,GlaxoSmithKline
NCT01855789,Phase 3,3,A Study of the Impact of Methotrexate (MTX) Discontinuation on the Efficacy of Subcutaneous (SC) Tocilizumab (TCZ) With MTX,"A Randomized, Double-Blind Trial Assessing the Impact of Methotrexate Discontinuation on the Efficacy of Subcutaneous Tocilizumab With Methotrexate Therapy",718,2013-11-07,2016-10-14,Hoffmann-La Roche
NCT01899742,Phase 3,2,The Purpose of the This Study is to Evaluate the Spirometric Effect (Trough FEV1) of Umeclidinium/Vilanterol 62.5/25 mcg Once Daily Compared With Tiotropium 18mcg Once Daily Over a a 12-week Treatment Period in Subjects With COPD Who Continue to Have Symptoms on Tiotropium,"DB2116960: A Randomized, Double-Dummy, Parallel Group, Multicenter Trial Comparing the Efficacy and Safety of UMEC/VI (a Fixed Combination of Umeclidinium and Vilanterol) With Tiotropium In Subjects With COPD Who Continue To Have Symptoms on Tiotropium",497,2014-09-15,2015-07-22,GlaxoSmithKline
NCT02017171,Phase 3,2,A Multicenter Clinical Trial of Allopurinol to Prevent Kidney Function Loss in Type 1 Diabetes,PERL: A Multicenter Clinical Trial of Allopurinol to Prevent GFR Loss in T1D,530,2014-02-01,2019-06-01,Joslin Diabetes Center
NCT02024646,Phase 3,3,Study of Efficacy and Safety of Brodalumab in Subjects With Psoriatic Arthritis,"A Randomized, Double-blind, Placebo-controlled Phase 3 Study to Evaluate the Efficacy and Safety of Brodalumab in Subjects With Psoriatic Arthritis: AMVISION-2",484,2014-03-01,2015-10-01,Amgen
NCT02029495,Phase 3,3,"Study of Efficacy, Safety and Effect on Radiographic Progression of Brodalumab in Subjects With Psoriatic Arthritis","A Randomized, Double-blind, Placebo-controlled Phase 3 Study to Evaluate the Efficacy, Safety and Effect on Radiographic Progression of Brodalumab in Subjects With Psoriatic Arthritis: AMVISION-1",478,2014-03-01,2015-10-01,"Valeant Pharmaceuticals International, Inc."
NCT02033889,Phase 3,3,A Study To Evaluate The Efficacy And Safety Of Ertugliflozin In Participants With Type 2 Diabetes Mellitus And Inadequate Glycemic Control On Metformin Monotherapy (MK-8835-007).,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, 26-Week Multicenter Study With a 78-Week Extension To Evaluate The Efficacy And Safety Of Ertugliflozin In Subjects With Type 2 Diabetes Mellitus And Inadequate Glycemic Control On Metformin Monotherapy.",621,2013-12-13,2017-08-03,Merck Sharp & Dohme Corp.
NCT02036515,Phase 3,3,Safety and Efficacy of Ertugliflozin in the Treatment of Participants With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control on Metformin and Sitagliptin (MK-8835-006; VERTIS SITA2),"A Phase III, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Clinical Trial to Evaluate the Safety and Efficacy of Ertugliflozin (MK-8835/PF-04971729) in the Treatment of Subjects With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control on Metformin and Sitagliptin",464,2014-03-12,2016-06-06,Merck Sharp & Dohme Corp.
NCT02072434,Phase 3,2,Edoxaban vs. Warfarin in Subjects Undergoing Cardioversion of Atrial Fibrillation,"A Prospective, Randomized, Open-Label Blinded Endpoint Evaluation (PROBE) Parallel Group Study Comparing Edoxaban (DU-176b) With Enoxaparin/Warfarin Followed by Warfarin Alone in Subjects Undergoing Planned Electrical Cardioversion of Nonvalvular Atrial Fibrillation",2199,2014-03-01,2016-02-01,"Daiichi Sankyo, Inc."
NCT02139046,Phase 3,5,Efficacy and Safety of Extended Release and Immediate Release Febuxostat in Participants With Gout,"A Phase 3, Randomized, Double Blind, Multicenter, Placebo Controlled Study to Evaluate the Efficacy and Safety of Febuxostat 40 mg XR, 80 mg XR, 40 mg IR and 80 mg IR in Subjects With Gout",1790,2014-04-01,2015-11-01,Takeda
NCT02159053,Phase 3,3,"16-week Efficacy and 2-year Safety, Tolerability and Efficacy of Secukinumab in Participants With Active Ankylosing Spondylitis","A Randomized, Double-blind, Placebo-controlled, Phase III Multicenter Study of Subcutaneous Secukinumab (150 mg) With and Without a Subcutaneous Loading Regimen to Assess Efficacy, Safety, and Tolerability up to 2 Years in Patients With Active Ankylosing Spondylitis",350,2015-05-18,2018-01-03,Novartis
NCT02177253,Phase 3,5,"Ipratropium Bromide/Salbutamol Delivered by the Respimat® Inhaler Compared to Ipratropium Bromide Respimat®, COMBIVENT® Inhalation Aerosol and Placebo in Adults With Chronic Obstructive Pulmonary Disease","A Comparison of Ipratropium Bromide/Salbutamol (40 mcg / 200 mcg, One Inhalation) Delivered by the Respimat ® Inhaler to COMBIVENT Inhalation Aerosol (Two Inhalations), Ipratropium Bromide Respimat ® and Placebo of Each Formulation in a 12-week, Double-blind, Safety and Efficacy Study in Adults With Chronic Obstructive Pulmonary Disease",1118,2002-10-01,NA,Boehringer Ingelheim
NCT02257385,Phase 3,2,Comparative Study of Umeclidinium/Vilanterol (UMEC/VI) in a Fixed Dose Combination With Indacaterol Plus Tiotropium,"Study DB2116961, A Multicentre, Randomised, Blinded, Parallel Group Study to Compare UMEC/VI (Umeclidinium/Vilanterol) in a Fixed Dose Combination With Indacaterol Plus Tiotropium in Symptomatic Subjects With Moderate to Very Severe COPD",967,2014-10-01,2015-05-01,GlaxoSmithKline
NCT02269176,Phase 3,2,Efficacy and Safety of Telmisartan and Losartan in Primary Hypertension,"12 Week, Multi-center, Randomized, Double-blind, Double Dummy, Parallel Group Trial Comparing the Efficacy and Safety of 40 & 80 mg Telmisartan and 50 & 100 mg Losartan in the Treatment of 150 Pairs of Primary Hypertension Patients",330,2000-07-01,NA,Boehringer Ingelheim
NCT02347774,Phase 3,3,Efficacy and Safety Trial of 12 Weeks of Treatment With Nebulized SUN-101 in Patients With COPD (GOLDEN-4),"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multicenter, Efficacy and Safety Trial of 12 Weeks of Treatment With Nebulized SUN-101 in Patients With COPD: GOLDEN-4 (Glycopyrrolate for Obstructive Lung Disease Via Electronic Nebulizer",641,2015-02-01,2015-12-01,Sunovion Respiratory Development Inc.
NCT02357459,Phase 3,3,Study of FX006 for the Treatment of Pain in Patients With Osteoarthritis of the Knee,"A Double-Blind, Randomized, Single-Dose Study to Assess the Safety and Efficacy of FX006 for the Treatment of Pain in Patients With Osteoarthritis of the Knee",486,2015-01-01,2016-01-01,"Flexion Therapeutics, Inc."
NCT02388724,Phase 3,2,Efficacy and Safety of Oral Once-Daily Vonoprazan (TAK-438) in Participants With Erosive Esophagitis,"A Randomized, Double-Blind, Double-Dummy Phase 3 Study to Evaluate the Efficacy and Safety of Oral Once-Daily Administration of TAK-438 20 mg Compared to Lansoprazole 30 mg in the Treatment of Subjects With Erosive Esophagitis",480,2015-03-16,2017-07-27,Takeda
NCT02460978,Phase 3,3,Dapagliflozin Evaluation in Patients With Inadequately Controlled Type 1 Diabetes,"A Multicenter, Randomized, Double-Blind, Placebo-controlled, Parallel Group, Phase 3 Study to Evaluate the Efficacy and Safety of Dapagliflozin as an Add-on to Insulin Therapy in Subjects With Type 1 Diabetes Mellitus - Study Two",815,2015-07-08,2018-04-20,AstraZeneca
NCT02694523,Phase 3,2,BI 655066/ABBV-066 (Risankizumab) Compared to Active Comparator (Adalimumab) in Patients With Moderate to Severe Chronic Plaque Psoriasis,"BI 655066/ABBV-066 (Risankizumab) Versus Adalimumab in a Randomized, Double Blind, Parallel Group Trial in Moderate to Severe Plaque Psoriasis to Assess Safety and Efficacy After 16 Weeks of Treatment and After Inadequate Adalimumab Treatment Response (IMMvent)",605,2016-03-01,2017-08-01,AbbVie
NCT00000620,Phase 3,6,Action to Control Cardiovascular Risk in Diabetes (ACCORD),Action to Control Cardiovascular Risk in Diabetes (ACCORD),10251,1999-09-01,2012-12-01,"National Heart, Lung, and Blood Institute (NHLBI)"
NCT00032890,Phase 3,NA,Glucosamine/Chondroitin Arthritis Intervention Trial (GAIT),Glucosamine/Chondroitin Arthritis Intervention Trial (GAIT),1588,2000-04-01,2004-02-01,VA Office of Research and Development
NCT00039013,Phase 3,4,Evaluation of the Effect on Glucose Control of AC2993 in Patients With Type 2 Diabetes Mellitus Treated With Metformin,"A Phase 3, Randomized, Triple-Blind, Parallel-Group, Long-Term, Placebo-Controlled, Multicenter Study to Examine the Effect on Glucose Control (HbA1c) of AC2993 Given Two Times a Day in Subjects With Type 2 Diabetes Mellitus Treated With Metformin Alone",336,2002-03-01,2003-06-01,AstraZeneca
NCT00042068,Phase 3,NA,A Multi-Center Trial to Compare Three Doses of Meloxicam and Placebo in Patients With Rheumatoid Arthritis,"A Multi-center, Double-Blind, Randomized, Parallel-Group Trial to Compare the Efficacy and Safety of Three Doses of Meloxicam (7.5, 15, and 22.5 mg) and Placebo in Patients With Rheumatoid Arthritis",1000,2002-06-01,2003-07-01,Boehringer Ingelheim
NCT00053599,Phase 3,NA,Cholesterol Lowering Agent to Slow Progression (CLASP) of Alzheimer's Disease Study,"A Multi-Center, Randomized, Double-Blind, Placebo-Controlled Trial of Simvastatin to Slow the Progression of Alzheimer's Disease",400,2002-12-01,2007-10-01,National Institute on Aging (NIA)
NCT00063687,Phase 2/Phase 3,NA,Oxypurinol Compared With Placebo for Class III-IV NYHA Congestive Heart Failure,"A Phase II-III Prospective, Randomized, Double-Blind, Placebo-Controlled Efficacy and Safety Study of Oxypurinol Added to Standard Therapy in Patients With NYHA Class III-IV Congestive Heart Failure",400,2003-03-01,2005-06-01,Cardiome Pharma
NCT00064402,Phase 3,5,"Determine the Safety and Efficacy of (R,R)-Formoterol in the Treatment of Subjects With COPD","A Double-Blind, Double-Dummy, Randomized, Placebo- and Active-Controlled, Multicenter, Parallel-Group Study of (R,R)-Formoterol in the Treatment of Subjects With Chronic Obstructive Pulmonary Disease",741,2002-04-01,2004-03-01,Sunovion
NCT00069823,Phase 3,2,Study of Acid Reflux in Asthma,The Study of Acid Reflux in Asthma,403,2003-09-01,2008-05-01,Johns Hopkins Bloomberg School of Public Health
NCT00073177,Phase 3,NA,Efficacy and Safety of Roflumilast in Patients With Asthma (BY217/M2-012),"A 24 Week, Double-Blind, Randomized, Placebo-Controlled Clinical Trial to Evaluate the Efficacy and Safety of Oral Roflumilast (250 mcg or 500 mcg) Daily in Patients With Asthma",819,2003-11-01,NA,AstraZeneca
